prompt_token_count,system_prompt_length,temperature,is_few_shot,response_quality_score
267,111,0.8,0,2.5
953,1581,0.6,0,4.64
973,992,0.2,1,6.36
877,1538,0.5,1,6.88
534,577,1.4,0,4.5
802,333,1.0,0,2.62
477,1775,1.1,0,5.58
281,349,0.2,1,7.18
906,1078,0.2,1,6.29
974,322,0.4,0,3.51
93,948,1.3,1,8.31
338,663,0.0,1,6.26
126,1218,0.7,1,7.02
435,1340,0.3,0,2.69
952,794,0.2,1,5.78
959,523,1.5,1,7.2
953,1791,0.8,1,7.44
902,1688,0.2,0,2.52
262,1900,1.2,0,5.61
82,863,0.5,0,2.95
502,826,0.2,1,6.11
535,883,0.4,1,6.38
288,890,1.2,0,4.68
415,1808,0.7,0,5.39
847,1899,0.6,0,3.46
